time,temperature
13453,304.15
13467,304.15
13481,304.15
13495,304.15
13509,304.15
13522,305.15
13536,305.15
13550,305.15
13564,305.15
13578,305.15
13592,306.15
13606,306.15
13620,306.15
13633,306.15
13647,307.15
13661,307.15
13675,307.15
13689,307.15
13703,307.15
13717,307.15
13731,308.15
13745,308.15
13758,308.15
13772,308.15
13786,308.15
13800,308.15
13814,309.15
13828,309.15
13842,309.15
13856,309.15
13870,309.15
13883,309.15
13897,310.15
13911,310.15
13925,310.15
13939,310.15
13953,310.15
13967,310.15
13981,311.15
13994,311.15
14008,311.15
14022,311.15
14036,311.15
14050,311.15
14064,311.15
14078,311.15
14092,312.15
14106,312.15
14119,312.15
14133,312.15
14147,312.15
14161,312.15
14175,312.15
14189,312.15
14203,313.15
14217,313.15
14230,313.15
14244,313.15
14258,313.15
14272,313.15
14286,313.15
14300,313.15
14314,314.15
14328,314.15
14342,314.15
14355,314.15
14369,314.15
14383,314.15
14397,314.15
14411,314.15
14425,314.15
14439,315.15
14453,315.15
14466,315.15
14480,315.15
14494,315.15
14508,315.15
14522,315.15
14536,315.15
14550,315.15
14564,316.15
14578,316.15
14591,316.15
14605,316.15
14619,316.15
14633,316.15
14647,316.15
14661,316.15
14675,317.15
14689,317.15
14702,317.15
14716,317.15
14730,317.15
14744,318.15
14758,318.15
14772,318.15
14786,318.15
14800,319.15
14814,319.15
14827,319.15
14841,319.15
14855,320.15
14869,320.15
14883,320.15
14897,320.15
14911,321.15
14925,321.15
14939,321.15
14952,321.15
14966,322.15
14980,322.15
14994,322.15
15008,322.15
15022,323.15
15036,323.15
15050,323.15
15063,323.15
15077,324.15
15091,324.15
15105,324.15
15119,324.15
15133,324.15
15147,325.15
15161,325.15
15175,325.15
15188,325.15
15202,325.15
15216,326.15
15230,326.15
15244,326.15
15258,326.15
15272,326.15
15286,327.15
15299,327.15
15313,327.15
15327,327.15
15341,327.15
15355,327.15
15369,328.15
15383,328.15
15397,328.15
15411,328.15
15424,328.15
15438,329.15
15452,329.15
15466,329.15
15480,329.15
15494,329.15
15508,329.15
15522,329.15
15535,330.15
15549,330.15
15563,330.15
15577,330.15
15591,330.15
15605,330.15
15619,331.15
15633,331.15
15647,331.15
15660,331.15
15674,331.15
15688,331.15
15702,331.15
15716,331.15
15730,332.15
15744,332.15
15758,332.15
15771,332.15
15785,332.15
15799,332.15
15813,332.15
15827,333.15
15841,333.15
15855,333.15
15869,333.15
15883,333.15
15896,333.15
15910,333.15
15924,334.15
15938,334.15
15952,334.15
15966,334.15
15980,334.15
15994,334.15
16008,335.15
16021,335.15
16035,335.15
16049,335.15
16063,335.15
16077,336.15
16091,336.15
16105,336.15
16119,336.15
16132,336.15
16146,336.15
16160,337.15
16174,337.15
16188,337.15
16202,337.15
16216,338.15
16230,338.15
16244,338.15
16257,338.15
16271,338.15
16285,339.15
16299,339.15
16313,339.15
16327,339.15
16341,340.15
16355,340.15
16368,340.15
16382,340.15
16396,341.15
16410,341.15
16424,341.15
16438,341.15
16452,342.15
16466,342.15
16480,342.15
16493,342.15
16507,343.15
16521,343.15
16535,343.15
16549,343.15
16563,343.15
16577,344.15
16591,344.15
16604,344.15
16618,344.15
16632,344.15
16646,345.15
16660,345.15
16674,345.15
16688,345.15
16702,345.15
16716,346.15
16729,346.15
16743,346.15
16757,346.15
16771,346.15
16785,347.15
16799,347.15
16813,347.15
16827,347.15
16840,347.15
16854,347.15
16868,348.15
16882,348.15
16896,348.15
16910,348.15
16924,348.15
16938,348.15
16952,349.15
16965,349.15
16979,349.15
16993,349.15
17007,349.15
17021,350.15
17035,350.15
17049,350.15
17063,350.15
17077,350.15
17090,350.15
17104,351.15
17118,351.15
17132,351.15
17146,351.15
17160,351.15
17174,351.15
17188,352.15
17201,352.15
17215,352.15
17229,352.15
17243,352.15
17257,353.15
17271,353.15
17285,353.15
17299,353.15
17313,353.15
17326,353.15
17340,354.15
17354,354.15
17368,354.15
17382,354.15
17396,354.15
17410,354.15
17424,355.15
17437,355.15
17451,355.15
17465,355.15
17479,355.15
17493,355.15
17507,356.15
17521,356.15
17535,356.15
17549,356.15
17562,356.15
17576,356.15
17590,356.15
17604,357.15
17618,357.15
17632,357.15
17646,357.15
17660,357.15
17673,357.15
17687,358.15
17701,358.15
17715,358.15
17729,358.15
17743,358.15
17757,358.15
17771,359.15
17785,359.15
17798,359.15
17812,359.15
17826,359.15
17840,359.15
17854,360.15
17868,360.15
17882,360.15
17896,360.15
17909,360.15
17923,361.15
17937,361.15
17951,361.15
17965,361.15
17979,361.15
17993,362.15
18007,362.15
18021,362.15
18034,362.15
18048,362.15
18062,363.15
18076,363.15
18090,363.15
18104,363.15
18118,363.15
18132,364.15
18146,364.15
18159,364.15
18173,364.15
18187,364.15
18201,365.15
18215,365.15
18229,365.15
18243,365.15
18257,365.15
18270,366.15
18284,366.15
18298,366.15
18312,366.15
18326,366.15
18340,367.15
18354,367.15
18368,367.15
18382,367.15
18395,367.15
18409,368.15
18423,368.15
18437,368.15
18451,368.15
18465,368.15
18479,368.15
18493,369.15
18506,369.15
18520,369.15
18534,369.15
18548,369.15
18562,370.15
18576,370.15
18590,370.15
18604,370.15
18618,370.15
18631,371.15
18645,371.15
18659,371.15
18673,371.15
18687,371.15
18701,372.15
18715,372.15
18729,372.15
18742,372.15
18756,372.15
18770,373.15
18784,373.15
18798,373.15
18812,373.15
18826,374.15
18840,374.15
18854,374.15
18867,374.15
18881,375.15
18895,375.15
18909,375.15
18923,375.15
18937,375.15
18951,376.15
18965,376.15
18979,376.15
18992,376.15
19006,377.15
19020,377.15
19034,377.15
19048,377.15
19062,377.15
19076,378.15
19090,378.15
19103,378.15
19117,378.15
19131,379.15
19145,379.15
19159,379.15
19173,379.15
19187,379.15
19201,380.15
19215,380.15
19228,380.15
19242,380.15
19256,380.15
19270,381.15
19284,381.15
19298,381.15
19312,381.15
19326,382.15
19339,382.15
19353,382.15
19367,382.15
19381,382.15
19395,383.15
19409,383.15
19423,383.15
19437,383.15
19451,384.15
19464,384.15
19478,384.15
19492,384.15
19506,385.15
19520,385.15
19534,385.15
19548,385.15
19562,386.15
19575,386.15
19589,386.15
19603,386.15
19617,387.15
19631,387.15
19645,387.15
19659,387.15
19673,388.15
19687,388.15
19700,388.15
19714,388.15
19728,389.15
19742,389.15
19756,389.15
19770,389.15
19784,390.15
19798,390.15
19811,390.15
19825,390.15
19839,391.15
19853,391.15
19867,391.15
19881,391.15
19895,391.15
19909,392.15
19923,392.15
19936,392.15
19950,392.15
19964,393.15
19978,393.15
19992,393.15
20006,393.15
20020,394.15
20034,394.15
20048,394.15
20061,394.15
20075,395.15
20089,395.15
20103,395.15
20117,395.15
20131,395.15
20145,396.15
20159,396.15
20172,396.15
20186,396.15
20200,397.15
20214,397.15
20228,397.15
20242,397.15
20256,398.15
20270,398.15
20284,398.15
20297,399.15
20311,399.15
20325,399.15
20339,399.15
20353,399.15
20367,400.15
20381,400.15
20395,400.15
20408,401.15
20422,401.15
20436,401.15
20450,401.15
20464,402.15
20478,402.15
20492,402.15
20506,402.15
20520,403.15
20533,403.15
20547,403.15
20561,403.15
20575,404.15
20589,404.15
20603,404.15
20617,404.15
20631,405.15
20644,405.15
20658,405.15
20672,405.15
20686,406.15
20700,406.15
20714,406.15
20728,406.15
20742,407.15
20756,407.15
20769,407.15
20783,407.15
20797,408.15
20811,408.15
20825,408.15
20839,408.15
20853,409.15
20867,409.15
20881,409.15
20894,409.15
20908,410.15
20922,410.15
20936,410.15
20950,410.15
20964,411.15
20978,411.15
20992,411.15
21005,412.15
21019,412.15
21033,412.15
21047,412.15
21061,413.15
21075,413.15
21089,413.15
21103,413.15
21117,414.15
21130,414.15
21144,414.15
21158,415.15
21172,415.15
21186,415.15
21200,415.15
21214,416.15
21228,416.15
21241,416.15
21255,416.15
21269,417.15
21283,417.15
21297,417.15
21311,418.15
21325,418.15
21339,418.15
21353,418.15
21366,419.15
21380,419.15
21394,419.15
21408,419.15
21422,420.15
21436,420.15
21450,420.15
21464,420.15
21477,421.15
21491,421.15
21505,421.15
21519,421.15
21533,422.15
21547,422.15
21561,422.15
21575,422.15
21589,423.15
21602,423.15
21616,423.15
21630,423.15
21644,424.15
21658,424.15
21672,424.15
21686,425.15
21700,425.15
21713,425.15
21727,425.15
21741,426.15
21755,426.15
21769,426.15
21783,427.15
21797,427.15
21811,427.15
21825,427.15
21838,428.15
21852,428.15
21866,428.15
21880,428.15
21894,429.15
21908,429.15
21922,429.15
21936,430.15
21949,430.15
21963,430.15
21977,430.15
21991,431.15
22005,431.15
22019,431.15
22033,432.15
22047,432.15
22061,432.15
22074,432.15
22088,433.15
22102,433.15
22116,433.15
22130,433.15
22144,434.15
22158,434.15
22172,434.15
22186,434.15
22199,435.15
22213,435.15
22227,435.15
22241,436.15
22255,436.15
22269,436.15
22283,436.15
22297,437.15
22310,437.15
22324,437.15
22338,437.15
22352,438.15
22366,438.15
22380,438.15
22394,438.15
22408,439.15
22422,439.15
22435,439.15
22449,439.15
22463,440.15
22477,440.15
22491,440.15
22505,441.15
22519,441.15
22533,441.15
22546,441.15
22560,442.15
22574,442.15
22588,442.15
22602,442.15
22616,443.15
22630,443.15
22644,443.15
22658,443.15
22671,444.15
22685,444.15
22699,444.15
22713,444.15
22727,445.15
22741,445.15
22755,445.15
22769,445.15
22782,446.15
22796,446.15
22810,446.15
22824,446.15
22838,447.15
22852,447.15
22866,447.15
22880,447.15
22894,448.15
22907,448.15
22921,448.15
22935,448.15
22949,449.15
22963,449.15
22977,449.15
22991,450.15
23005,450.15
23019,450.15
23032,450.15
23046,451.15
23060,451.15
23074,451.15
23088,452.15
23102,452.15
23116,452.15
23130,452.15
23143,452.15
23157,453.15
23171,453.15
23185,453.15
23199,454.15
23213,454.15
23227,454.15
23241,454.15
23255,455.15
23268,455.15
23282,455.15
23296,455.15
23310,456.15
23324,456.15
23338,456.15
23352,456.15
23366,457.15
23379,457.15
23393,457.15
23407,458.15
23421,458.15
23435,458.15
23449,458.15
23463,459.15
23477,459.15
23491,459.15
23504,459.15
23518,460.15
23532,460.15
23546,460.15
23560,461.15
23574,461.15
23588,461.15
23602,461.15
23615,462.15
23629,462.15
23643,462.15
23657,462.15
23671,463.15
23685,463.15
23699,463.15
23713,464.15
23727,464.15
23740,464.15
23754,464.15
23768,465.15
23782,465.15
23796,465.15
23810,466.15
23824,466.15
23838,466.15
23851,466.15
23865,467.15
23879,467.15
23893,467.15
23907,468.15
23921,468.15
23935,468.15
23949,469.15
23963,469.15
23976,469.15
23990,470.15
24004,470.15
24018,470.15
24032,470.15
24046,471.15
24060,471.15
